[2024-07-03 00:14:44] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-03 00:14:44] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-07-03 00:14:44] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-07-03 00:14:49] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-07-03 00:14:49] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-07-03 00:14:49] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-07-03 00:14:50] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\ianki\Local Sites\erins-car-rental\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1719965684\
[2024-07-03 00:14:53] [class-ss-setup-task.php:72] Adding origin URL to queue: http://erins-car-rental.local/
[2024-07-03 00:14:53] [class-ss-setup-task.php:145] Adding files from directory: C:/Users/ianki/Local Sites/erins-car-rental/app/public/
[2024-07-03 00:14:53] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\.git\COMMIT_EDITMSG to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/.git/COMMIT_EDITMSG
[2024-07-03 00:14:53] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\.git\config to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/.git/config
[2024-07-03 00:14:53] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\.git\description to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/.git/description
[2024-07-03 00:14:53] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\.git\FETCH_HEAD to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/.git/FETCH_HEAD
[2024-07-03 00:14:53] [class-ss-setup-task.php:150] Adding file C:/Users/ianki/Local Sites/erins-car-rental/app/public\.git\HEAD to queue as: C:/Users/ianki/Local Sites/erins-car-rental/app/public/.git/HEAD
